reg_code,region_name_ru,region_name_en,feddis_name_en,feddis_name_ru,feddis_code
1,???????????? ???????,Belgorod region,central,??????????? ??????????? ?????,1
2,???????? ??????? ,Bryansk region,central,??????????? ??????????? ?????,1
3,???????????? ???????,Vladimir region,central,??????????? ??????????? ?????,1
4,??????????? ???????,Voronezh region,central,??????????? ??????????? ?????,1
5,?????????? ???????,Ivanovo region,central,??????????? ??????????? ?????,1
6,????????? ???????,Kaluga region,central,??????????? ??????????? ?????,1
7,??????????? ???????,Kostroma region ,central,??????????? ??????????? ?????,1
8,??????? ??????? ,Kursk region,central,??????????? ??????????? ?????,1
9,???????? ??????? ,Lipetsk region,central,??????????? ??????????? ?????,1
10,?????????? ???????,Moscow region,central,??????????? ??????????? ?????,1
11,????????? ???????,Oryol region,central,??????????? ??????????? ?????,1
12,????????? ???????,Ryazan region,central,??????????? ??????????? ?????,1
13,?????????? ???????,Smolensk region,central,??????????? ??????????? ?????,1
14,?????????? ???????,Tambov region,central,??????????? ??????????? ?????,1
15,???????? ??????? ,Tver region,central,??????????? ??????????? ?????,1
16,???????? ??????? ,Tula region,central,??????????? ??????????? ?????,1
17,??????????? ???????,Yaroslavl region,central,??????????? ??????????? ?????,1
18,?????? ,The City of Moscow ,central,??????????? ??????????? ?????,1
19,?????????? ???????,Republic of Karelia ,north_west,??????-???????? ??????????? ????? ,2
20,?????????? ???? ,Republic of Komi,north_west,??????-???????? ??????????? ????? ,2
21,????????????? ???????,Arkhangelsk region ,north_west,??????-???????? ??????????? ????? ,2
22,???????? ?????????? ?????,Nenets autonomous area,north_west,??????-???????? ??????????? ????? ,2
23,??????????? ???????,Vologda region,north_west,??????-???????? ??????????? ????? ,2
24,??????????????? ???????,Kaliningrad region,north_west,??????-???????? ??????????? ????? ,2
25,????????????? ???????,Leningrad region,north_west,??????-???????? ??????????? ????? ,2
26,?????????? ???????,Murmansk region,north_west,??????-???????? ??????????? ????? ,2
27,???????????? ???????,Novgorod region,north_west,??????-???????? ??????????? ????? ,2
28,????????? ???????,Pskov region,north_west,??????-???????? ??????????? ????? ,2
29,?????-?????????,The City of Saint-Petersburg,north_west,??????-???????? ??????????? ????? ,2
30,?????????? ??????,Republic of Adygeya,south,????? ??????????? ?????,3
31,?????????? ???????? ,Republic of Daghestan ,south,????? ??????????? ?????,3
32,?????????? ?????????,Republic of Ingushetia,south,????? ??????????? ?????,3
33,?????????-?????????? ??????????,Kabardian-Balkar Republic,south,????? ??????????? ?????,3
34,?????????? ????????,Republic of Kalmykia,south,????? ??????????? ?????,3
35,?????????-?????????? ??????????,Karachaev-Circassian Republic,south,????? ??????????? ?????,3
36,?????????? ???????? ?????? - ??????,Republic of North Ossetia -Alania ,south,????? ??????????? ?????,3
37,????????? ??????????,Chechen Republic,south,????? ??????????? ?????,3
38,????????????? ????,Krasnodar territory,south,????? ??????????? ?????,3
39,?????????????? ????,Stavropol territory,south,????? ??????????? ?????,3
40,???????????? ???????,Astrakhan region ,south,????? ??????????? ?????,3
41,????????????? ???????,Volgograd region ,south,????? ??????????? ?????,3
42,?????????? ???????,Rostov region,south,????? ??????????? ?????,3
43,?????????? ????????????,Republic of Bashkortastan,volga,??????????? ??????????? ?????,4
44,?????????? ????? ??,Republic of Mariy El,volga,??????????? ??????????? ?????,4
45,?????????? ????????,Republic of Mordovia,volga,??????????? ??????????? ?????,4
46,?????????? ?????????,Republic of Tatarstan,volga,??????????? ??????????? ?????,4
47,?????????? ??????????,Udmurt Republic,volga,??????????? ??????????? ?????,4
48,????????? ??????????,Chuvash Republic,volga,??????????? ??????????? ?????,4
49,????????? ???????,Kirov region,volga,??????????? ??????????? ?????,4
50,????????????? ???????,Nizhny novgorod region,volga,??????????? ??????????? ?????,4
51,???????????? ???????,Orenburg region ,volga,??????????? ??????????? ?????,4
52,?????????? ???????,Penza region ,volga,??????????? ??????????? ?????,4
53,???????? ??????? ,Perm region,volga,??????????? ??????????? ?????,4
54,????????? ???????,Samara region,volga,??????????? ??????????? ?????,4
55,??????????? ???????,Saratov region,volga,??????????? ??????????? ?????,4
56,??????????? ???????,Ulyanovsk region,volga,??????????? ??????????? ?????,4
57,?????????? ???????,Kurgan region,ural,????????? ??????????? ?????,5
58,???????????? ???????,Sverdlovsk region ,ural,????????? ??????????? ?????,5
59,????????? ???????,Tyumen region,ural,????????? ??????????? ?????,5
60,?????-?????????? ?????????? ????? - ????,Khanty-Mansi autonomous ,ural,????????? ??????????? ?????,5
61,?????-????????,Yamalo-Nenets autonomous ,ural,????????? ??????????? ?????,5
62,??????????? ???????,Chelyabinsk region ,ural,????????? ??????????? ?????,5
63,?????????? ????? ,Republic of Altai,siberian ,????????? ??????????? ?????,6
64,?????????? ???????,Republic of Buryatia,siberian ,????????? ??????????? ?????,6
65,?????????? ???? ,Republic of Tyva,siberian ,????????? ??????????? ?????,6
66,?????????? ???????,Republic of Khakassia,siberian ,????????? ??????????? ?????,6
67,????????? ???? ,Altai territory ,siberian ,????????? ??????????? ?????,6
68,???????????? ????,Krasnoyarsk territory,siberian ,????????? ??????????? ?????,6
69,????????? ???????,Irkutsk region ,siberian ,????????? ??????????? ?????,6
70,??????????? ???????,Kemerovo region,siberian ,????????? ??????????? ?????,6
71,????????????? ???????,Novosibirsk region ,siberian ,????????? ??????????? ?????,6
72,?????? ??????? ,Omsk region,siberian ,????????? ??????????? ?????,6
73,??????? ??????? ,Tomsk region,siberian ,????????? ??????????? ?????,6
74,????????? ???????,Chita region,siberian ,????????? ??????????? ?????,6
75,?????????? ???? (??????),Republic of Sakha (Yakutia) ,far_east,??????????????? ??????????? ?????,7
76,?????????? ???? ,Primorsky territory,far_east,??????????????? ??????????? ?????,7
77,??????????? ???? ,Khabarovsk territory ,far_east,??????????????? ??????????? ?????,7
78,???????? ??????? ,Amur region,far_east,??????????????? ??????????? ?????,7
79,?????????? ???????,Kamchatka region ,far_east,??????????????? ??????????? ?????,7
80,??????????? ???????,Magadan region,far_east,??????????????? ??????????? ?????,7
81,??????????? ???????,Sakhalin region,far_east,??????????????? ??????????? ?????,7
82,????????? ?????????? ???????,Jewish autonomous region ,far_east,??????????????? ??????????? ?????,7
83,????????? ?????????? ?????,Chukotka autonomous area,far_east,??????????????? ??????????? ?????,7
